matching_text,granturls,funder,funding_type,closing_date,opening_date,publication_date,total_fund,titles,status
[],https://www.ukri.org/opportunity/developmental-pathway-funding-scheme-nov-2021/,"
Medical Research Council (MRC) ",Grant,"
24 November 2021 16:00 UK time ","
	15 October 2021	",26 February 2021,"£30,000,000",Developmental pathway funding scheme: Nov 2021,Upcoming
[],https://www.ukri.org/opportunity/developmental-pathway-funding-scheme-july-2021/,"
Medical Research Council (MRC) ",Grant,"
21 July 2021 16:00 UK time ","
	11 June 2021	",26 February 2021,"£30,000,000",Developmental pathway funding scheme: July 2021,Upcoming
[],https://www.ukri.org/opportunity/research-into-inclusive-ageing/,"
Economic and Social Research Council (ESRC) ",Grant,"
	To be confirmed	","
	To be confirmed	",22 February 2021,"£9,000,000",Pre-announcement: research into inclusive ageing,Upcoming
[],https://www.ukri.org/opportunity/investigating-the-mechanisms-to-prevent-hypersensitivities-to-food/,"
Biotechnology and Biological Sciences Research Council (BBSRC), Medical Research Council (MRC) ",Grant,"
8 April 2021 15:00 UK time ","
	2 February 2021	",17 February 2021,"£1,250,000",Investigating the mechanisms to prevent hypersensitivities to food,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-molecular-and-cellular-medicine-new-investigator-research-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
5 May 2021 16:00 UK time ","
	15 February 2021	",11 February 2021,N/A,MRC molecular and cellular medicine new investigator research grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-molecular-and-cellular-medicine-research-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
5 May 2021 16:00 UK time ","
	15 February 2021	",11 February 2021,N/A,MRC molecular and cellular medicine research grant: May 2021,Open
[],https://www.ukri.org/opportunity/ukri-trustworthy-autonomous-systems-programme-responsibility/,"
Arts and Humanities Research Council (AHRC), Engineering and Physical Sciences Research Council (EPSRC), Economic and Social Research Council (ESRC) ",Grant,"
13 May 2021 16:00 UK time ","
	10 February 2021	",11 February 2021,"£3,000,000",UKRI Trustworthy Autonomous Systems programme: responsibility,Open
['open science'],https://www.ukri.org/opportunity/national-mouse-genetics-network-clusters/,"
Medical Research Council (MRC) ",Grant,"
24 March 2021 16:00 UK time ","
	10 February 2021 10:00 UK time	",10 February 2021,N/A,Expressions of interest: National Mouse Genetics Network clusters,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-population-and-systems-medicine-programme-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
19 May 2021 16:00 UK time ","
	15 February 2021	",10 February 2021,N/A,MRC population and systems medicine programme grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-population-and-systems-medicine-new-investigator-research-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
19 May 2021 16:00 UK time ","
	15 February 2021	",10 February 2021,N/A,MRC population and systems medicine new investigator research grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-population-and-systems-medicine-research-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
19 May 2021 16:00 UK time ","
	15 February 2021	",10 February 2021,N/A,MRC population and systems medicine research grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-population-and-systems-medicine-partnership-grants-may-2021/,"
Medical Research Council (MRC) ",Grant,"
19 May 2021 16:00 UK time ","
	15 February 2021	",9 February 2021,N/A,MRC population and systems medicine partnership grants: May 2021,Open
,https://www.ukri.org/opportunity/experimental-medicine-grants-sep-2021/,"
Medical Research Council (MRC) ",Grant,"
9 September 2021 16:00 UK time ","
	15 July 2021	",9 February 2021,"£10,000,000",Pre-announcement: experimental medicine grants: Sep 2021,Upcoming
[],https://www.ukri.org/opportunity/experimental-medicine-grants-apr-2021/,"
Medical Research Council (MRC) ",Grant,"
28 April 2021 16:00 UK time ","
	3 March 2021	",9 February 2021,"£10,000,000",Experimental medicine grants: Apr 2021,Upcoming
['data sharing'],https://www.ukri.org/opportunity/mrc-neurosciences-and-mental-health-programme-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
26 May 2021 16:00 UK time ","
	15 February 2021	",9 February 2021,N/A,MRC neurosciences and mental health programme grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-neurosciences-and-mental-health-research-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
26 May 2021 16:00 UK time ","
	15 February 2021	",9 February 2021,N/A,MRC neurosciences and mental health research grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-neurosciences-and-mental-health-partnership-grants-may-2021/,"
Medical Research Council (MRC) ",Grant,"
26 May 2021 16:00 UK time ","
	15 February 2021	",9 February 2021,N/A,MRC neurosciences and mental health partnership grants: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-molecular-and-cellular-medicine-partnership-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
5 May 2021 16:00 UK time ","
	15 February 2021	",9 February 2021,N/A,MRC molecular and cellular medicine partnership grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-neurosciences-and-mental-health-new-investigator-research-grants-may-2021/,"
Medical Research Council (MRC) ",Grant,"
26 May 2021 16:00 UK time ","
	15 February 2021	",9 February 2021,N/A,MRC neurosciences and mental health new investigator research grants: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-infections-and-immunity-partnership-grants-may-2021/,"
Medical Research Council (MRC) ",Grant,"
12 May 2021 16:00 UK time ","
	15 February 2021	",8 February 2021,N/A,MRC infections and immunity partnership grants: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-molecular-and-cellular-medicine-programme-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
5 May 2021 16:00 UK time ","
	15 February 2021	",8 February 2021,N/A,MRC molecular and cellular medicine programme grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-infections-and-immunity-programme-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
12 May 2021 16:00 UK time ","
	15 February 2021	",8 February 2021,N/A,MRC infections and immunity programme grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-infections-and-immunity-research-grant-may-2021/,"
Medical Research Council (MRC) ",Grant,"
12 May 2021 16:00 UK time ","
	15 February 2021	",8 February 2021,N/A,MRC infections and immunity research grant: May 2021,Open
['data sharing'],https://www.ukri.org/opportunity/mrc-infections-and-immunity-new-investigator-research-grants-may-2021/,"
Medical Research Council (MRC) ",Grant,"
12 May 2021 16:00 UK time ","
	15 February 2021	",5 February 2021,N/A,MRC Infections and immunity new investigator research grants: May 2021,Open
[],https://www.ukri.org/opportunity/developmental-pathway-funding-scheme-mar-2021/,"
Medical Research Council (MRC) ",Grant,"
24 March 2021 16:00 UK time ","
	12 February 2021	",5 February 2021,"£30,000,000",Developmental pathway funding scheme: Mar 2021,Open
[],https://www.ukri.org/opportunity/transforming-uk-food-systems-for-health-and-environment/,"
Biotechnology and Biological Sciences Research Council (BBSRC), Economic and Social Research Council (ESRC), Medical Research Council (MRC), Natural Environment Research Council (NERC), Innovate UK ",Grant,"
22 April 2021 16:00 UK time ","
	2 February 2021	",2 February 2021,"£14,000,000",Expression of interest: transforming UK food systems for health and environment,Open
[],https://www.ukri.org/opportunity/health-systems-research-initiative-hsri-foundation-grant/,"
Medical Research Council (MRC) ",Grant,"
26 May 2021 16:00 UK time ","
	N/A	",29 January 2021,"£700,000",Health Systems Research Initiative (HSRI) foundation grant,Open
[],https://www.ukri.org/opportunity/linked-justice-and-education-data-research-fellowship/,"
Economic and Social Research Council (ESRC) ",Fellowship,"
30 March 2021 16:00 UK time ","
	26 January 2021	",28 January 2021,"£650,000",Linked justice and education data research fellowship,Open
[],https://www.ukri.org/opportunity/interventions-to-reduce-antibiotic-resistance-or-transmission/,"
Medical Research Council (MRC), Biotechnology and Biological Sciences Research Council (BBSRC), Natural Environment Research Council (NERC) ",Grant,"
16 March 2021 11:00 UK time ","
	14 January 2021	",14 January 2021,"£2,500,000",Interventions to reduce antibiotic resistance or transmission,Open
[],https://www.ukri.org/opportunity/esrc-postdoctoral-fellowships/,"
Economic and Social Research Council (ESRC) ",Fellowship,"
23 March 2021 16:00 UK time ","
	N/A	",14 December 2020,N/A,ESRC postdoctoral fellowships,Open
[],https://www.ukri.org/opportunity/uk-ireland-collaboration-in-digital-humanities/,"
Arts and Humanities Research Council (AHRC) ",Grant,"
18 March 2021 16:00 UK time ","
	8 January 2021	",27 November 2020,N/A,UK-Ireland collaboration in digital humanities,Open
[],https://www.ukri.org/opportunity/improving-health-in-low-and-middle-income-countries/,"
Medical Research Council (MRC) ",Grant,"
14 April 2021 16:00 UK time ","
	1 February 2021	",26 November 2020,N/A,Applied global health research: improve health in LMICs,Open
[],https://www.ukri.org/opportunity/esrc-working-with-luxembourg-researchers/,"
Economic and Social Research Council (ESRC), UK Research and Innovation	",Grant,"
	Open - no closing date	","
	N/A	",24 October 2020,N/A,ESRC: Working with Luxembourg researchers,Open
[],https://www.ukri.org/opportunity/mrc-senior-clinical-fellowship-apr-2021/,"
Medical Research Council (MRC) ",Fellowship,"
21 April 2021 16:00 UK time ","
	1 March 2021	",23 October 2020,N/A,MRC senior clinical fellowship: Apr 2021,Upcoming
[],https://www.ukri.org/opportunity/mrc-senior-non-clinical-fellowships-apr-2021/,"
Medical Research Council (MRC) ",Fellowship,"
21 April 2021 16:00 UK time ","
	1 March 2021	",23 October 2020,N/A,MRC senior non-clinical fellowships: April 2021,Upcoming
[],https://www.ukri.org/opportunity/mrc-senior-non-clinical-fellowships-sep-2021/,"
Medical Research Council (MRC) ",Fellowship,"
15 September 2021 16:00 UK time ","
	6 August 2021	",23 October 2020,N/A,MRC senior non-clinical fellowships: Sep 2021,Upcoming
[],https://www.ukri.org/opportunity/mrc-clinician-scientist-fellowship-apr-2021/,"
Medical Research Council (MRC) ",Fellowship,"
7 April 2021 16:00 UK time ","
	12 February 2021	",24 September 2020,N/A,MRC clinician scientist fellowship: Apr 2021,Open
[],https://www.ukri.org/opportunity/mrc-clinician-scientist-fellowship-sep-2021/,"
Medical Research Council (MRC) ",Fellowship,"
1 September 2021 16:00 UK time ","
	23 July 2021	",24 September 2020,N/A,MRC clinician scientist fellowship: Sep 2021,Upcoming
[],https://www.ukri.org/opportunity/mrc-clinical-research-training-fellowship-sep-2021/,"
Medical Research Council (MRC) ",Fellowship,"
1 September 2021 16:00 UK time ","
	23 July 2021	",24 September 2020,N/A,MRC clinical research training fellowship: Sep 2021,Upcoming
[],https://www.ukri.org/opportunity/clinical-research-training-fellowship-crtf-post-doctoral-opportunity-apr-2021/,"
Medical Research Council (MRC) ",Fellowship,"
7 April 2021 16:00 UK time ","
	12 February 2021	",24 September 2020,N/A,MRC clinical research training fellowships: Apr 2021,Open
[],https://www.ukri.org/opportunity/mrc-career-development-award-sep-2021/,"
Medical Research Council (MRC) ",Fellowship,"
15 September 2021 16:00 UK time ","
	6 August 2021	",24 September 2020,N/A,MRC career development award: Sep 2021,Upcoming
[],https://www.ukri.org/opportunity/esrc-new-investigator-grant/,"
Economic and Social Research Council (ESRC) ",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,ESRC new investigator grant,Open
[],https://www.ukri.org/opportunity/ahrc-research-networking-scheme/,"
Arts and Humanities Research Council (AHRC) ",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,AHRC research networking scheme,Open
[],https://www.ukri.org/opportunity/ahrc-working-with-brazilian-researchers/,"
Arts and Humanities Research Council (AHRC) ",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,AHRC: Working with Brazilian researchers,Open
[],https://www.ukri.org/opportunity/ukri-sbe-lead-agency-opportunity/,"
Arts and Humanities Research Council (AHRC), Biotechnology and Biological Sciences Research Council (BBSRC), Economic and Social Research Council (ESRC), UK Research and Innovation	",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,UKRI-SBE lead agency opportunity,Open
['open research'],https://www.ukri.org/opportunity/daphne-jackson-fellowship/,"
Arts and Humanities Research Council (AHRC), Biotechnology and Biological Sciences Research Council (BBSRC), Economic and Social Research Council (ESRC), Engineering and Physical Sciences Research Council (EPSRC), Medical Research Council (MRC), Natural Environment Research Council (NERC), Science and Technology Facilities Council (STFC) ",Fellowship,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,Daphne Jackson fellowship,Open
[],https://www.ukri.org/opportunity/ahrc-follow-on-funding-for-impact-and-engagement/,"
Arts and Humanities Research Council (AHRC) ",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,AHRC follow-on funding for impact and engagement,Open
['open research'],https://www.ukri.org/opportunity/ahrc-standard-research-grant/,"
Arts and Humanities Research Council (AHRC) ",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,AHRC standard research grant,Open
[],https://www.ukri.org/opportunity/better-methods-better-research-nov-2021/,"
Medical Research Council (MRC) ",Grant,"
11 November 2021 16:00 UK time ","
	1 October 2021	",20 September 2020,N/A,"Better methods, better research: Nov 2021",Upcoming
[],https://www.ukri.org/opportunity/ahrc-early-career-research-grant/,"
Arts and Humanities Research Council (AHRC) ",Grant,"
	Open - no closing date	","
	N/A	",20 September 2020,N/A,AHRC early career research grant,Open
